Specimen Collection date to today,7 day moving average
2020/3/1,2.0
2020/3/2,1.5
2020/3/3,1.7
2020/3/4,2.0
2020/3/5,2.0
2020/3/6,1.8
2020/3/7,2.0
2020/3/8,1.8
2020/3/9,2.5
2020/3/10,4.2
2020/3/11,6.5
2020/3/12,8.9
2020/3/13,11.3
2020/3/14,14.6
2020/3/15,17.1
2020/3/16,20.4
2020/3/17,25.7
2020/3/18,30.6
2020/3/19,35.7
2020/3/20,44.6
2020/3/21,47.7
2020/3/22,52.0
2020/3/23,56.9
2020/3/24,58.9
2020/3/25,62.0
2020/3/26,64.4
2020/3/27,64.3
2020/3/28,66.9
2020/3/29,68.1
2020/3/30,71.7
2020/3/31,77.6
2020/4/1,86.4
2020/4/2,99.6
2020/4/3,104.3
2020/4/4,109.4
2020/4/5,115.6
2020/4/6,126.7
2020/4/7,140.6
2020/4/8,147.0
2020/4/9,148.4
2020/4/10,159.4
2020/4/11,171.4
2020/4/12,177.1
2020/4/13,200.4
2020/4/14,215.6
2020/4/15,236.6
2020/4/16,240.7
2020/4/17,261.0
2020/4/18,268.7
2020/4/19,265.7
2020/4/20,260.9
2020/4/21,243.6
2020/4/22,227.4
2020/4/23,219.9
2020/4/24,199.4
2020/4/25,186.7
2020/4/26,184.3
2020/4/27,167.3
2020/4/28,173.0
2020/4/29,171.7
2020/4/30,179.6
2020/5/1,180.1
2020/5/2,178.3
2020/5/3,179.3
2020/5/4,178.6
2020/5/5,172.7
2020/5/6,162.6
2020/5/7,161.3
2020/5/8,160.3
2020/5/9,157.1
2020/5/10,152.7
2020/5/11,156.3
2020/5/12,149.0
2020/5/13,152.4
2020/5/14,148.0
2020/5/15,148.6
2020/5/16,154.0
2020/5/17,162.3
2020/5/18,151.3
2020/5/19,163.3
2020/5/20,169.3
2020/5/21,172.3
2020/5/22,168.7
2020/5/23,167.1
2020/5/24,170.1
2020/5/25,182.4
2020/5/26,180.6
2020/5/27,179.9
2020/5/28,176.7
2020/5/29,175.9
2020/5/30,170.6
2020/5/31,161.6
2020/6/1,163.7
2020/6/2,153.1
2020/6/3,141.1
2020/6/4,141.3
2020/6/5,134.4
2020/6/6,130.3
2020/6/7,129.3
2020/6/8,115.4
2020/6/9,109.3
2020/6/10,106.1
2020/6/11,97.3
2020/6/12,91.1
2020/6/13,90.7
2020/6/14,84.7
2020/6/15,79.9
2020/6/16,75.9
2020/6/17,72.9
2020/6/18,67.1
2020/6/19,65.4
2020/6/20,61.7
2020/6/21,59.9
2020/6/22,57.9
2020/6/23,59.4
2020/6/24,62.0
2020/6/25,59.7
2020/6/26,59.3
2020/6/27,57.9
2020/6/28,59.4
2020/6/29,59.4
2020/6/30,60.1
2020/7/1,52.9
2020/7/2,51.1
2020/7/3,49.0
2020/7/4,48.4
2020/7/5,45.3
2020/7/6,42.4
2020/7/7,39.4
2020/7/8,41.7
2020/7/9,39.9
2020/7/10,38.9
2020/7/11,39.3
2020/7/12,39.3
2020/7/13,37.0
2020/7/14,35.6
2020/7/15,34.7
2020/7/16,36.1
2020/7/17,35.3
2020/7/18,33.6
2020/7/19,32.9
2020/7/20,31.3
2020/7/21,28.9
2020/7/22,26.7
2020/7/23,23.6
2020/7/24,23.1
2020/7/25,21.9
2020/7/26,20.9
2020/7/27,20.0
2020/7/28,18.4
2020/7/29,16.7
2020/7/30,16.6
2020/7/31,15.7
2020/8/1,14.7
2020/8/2,16.3
2020/8/3,15.6
2020/8/4,16.9
2020/8/5,17.7
2020/8/6,19.4
2020/8/7,19.4
2020/8/8,19.0
2020/8/9,17.1
2020/8/10,18.3
2020/8/11,16.9
2020/8/12,16.9
2020/8/13,16.9
2020/8/14,17.1
2020/8/15,18.6
2020/8/16,21.0
2020/8/17,21.4
