Daily,Acc
2.0,2.0
1.5,3.5
1.7,5.2
2.0,7.2
2.0,9.2
1.8,11.0
2.0,13.0
1.8,14.8
2.5,17.3
4.2,21.5
6.5,28.0
8.9,36.9
11.3,48.2
14.6,62.800000000000004
17.1,79.9
20.4,100.30000000000001
25.7,126.00000000000001
30.6,156.6
35.7,192.3
44.6,236.9
47.7,284.6
52.0,336.6
56.9,393.5
58.9,452.4
62.0,514.4
64.4,578.8
64.3,643.0999999999999
66.9,709.9999999999999
68.1,778.0999999999999
71.7,849.8
77.6,927.4
86.4,1013.8
99.6,1113.3999999999999
104.3,1217.7
109.4,1327.1000000000001
115.6,1442.7
126.7,1569.4
140.6,1710.0
147.0,1857.0
148.4,2005.4
159.4,2164.8
171.4,2336.2000000000003
177.1,2513.3
200.4,2713.7000000000003
215.6,2929.3
236.6,3165.9
240.7,3406.6
261.0,3667.6
268.7,3936.2999999999997
265.7,4202.0
260.9,4462.9
243.6,4706.5
227.4,4933.9
219.9,5153.799999999999
199.4,5353.199999999999
186.7,5539.899999999999
184.3,5724.199999999999
167.3,5891.499999999999
173.0,6064.499999999999
171.7,6236.199999999999
179.6,6415.799999999999
180.1,6595.9
178.3,6774.2
179.3,6953.5
178.6,7132.1
172.7,7304.8
162.6,7467.400000000001
161.3,7628.700000000001
160.3,7789.000000000001
157.1,7946.100000000001
152.7,8098.800000000001
156.3,8255.1
149.0,8404.1
152.4,8556.5
148.0,8704.5
148.6,8853.1
154.0,9007.1
162.3,9169.4
151.3,9320.699999999999
163.3,9483.999999999998
169.3,9653.299999999997
172.3,9825.6
168.7,9994.300000000001
167.1,10161.400000000001
170.1,10331.500000000002
182.4,10513.900000000001
180.6,10694.500000000002
179.9,10874.400000000001
176.7,11051.100000000002
175.9,11227.000000000002
170.6,11397.600000000002
161.6,11559.200000000003
163.7,11722.900000000003
153.1,11876.000000000004
141.1,12017.100000000004
141.3,12158.400000000003
134.4,12292.800000000003
130.3,12423.099999999999
129.3,12552.399999999998
115.4,12667.799999999997
109.3,12777.099999999997
106.1,12883.199999999997
97.3,12980.499999999996
91.1,13071.599999999997
90.7,13162.299999999997
84.7,13246.999999999998
79.9,13326.899999999998
75.9,13402.799999999997
72.9,13475.699999999997
67.1,13542.799999999997
65.4,13608.199999999997
61.7,13669.899999999998
59.9,13729.799999999997
57.9,13787.7
59.4,13847.1
62.0,13909.1
59.7,13968.800000000001
59.3,14028.1
57.9,14086.0
59.4,14145.4
59.4,14204.8
60.1,14264.9
52.9,14317.8
51.1,14368.9
49.0,14417.9
48.4,14466.3
45.3,14511.599999999999
42.4,14553.999999999998
39.4,14593.399999999998
41.7,14635.1
39.9,14675.0
38.9,14713.9
39.3,14753.199999999999
39.3,14792.499999999998
37.0,14829.499999999998
35.6,14865.099999999999
34.7,14899.8
36.1,14935.9
35.3,14971.199999999999
33.6,15004.8
32.9,15037.699999999999
31.3,15068.999999999998
28.9,15097.899999999998
26.7,15124.599999999999
23.6,15148.199999999999
23.1,15171.3
21.9,15193.199999999999
20.9,15214.099999999999
20.0,15234.099999999999
18.4,15252.499999999998
16.7,15269.199999999999
16.6,15285.8
15.7,15301.5
14.7,15316.2
16.3,15332.5
